date,year,indicator,value,units,source
2019-01-01,2019,Average Planning Time Index at 10 Bottleneck Locations,7.945,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach,19.77,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,22.33,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,19.14,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,20.22,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH Around Port of New York-New Jersey,18.43,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Average Truck Speed in MPH at 10 Bottleneck Locations,22.75,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Containerized Exports at U.S. Ports in TEUs,1056218.19,TEUs,MARAD Office of Policy and Plans analysis of IHS Markit PIERS data
2019-01-01,2019,Containerized Imports at U.S. Ports in TEUs,2156456.25,TEUs,MARAD Office of Policy and Plans analysis of IHS Markit PIERS data
2019-01-01,2019,Downbound Grain Barge Rates,8.01,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,17.98,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,17,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,16.17,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,12.37,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,261726,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,209870,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,20698,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,60043,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,45712,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,93907,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,50538,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,39769,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,182337,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,"Empty Export Containers (in TEUs), Aggregated Select U.S. Ports",964600,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,"Freight Rates in $ per 40ft Container To Central China (Shanghai) from U.S. Midwest, U.S. West Coast",840,Dollars per 40ft box,"U.S. Department of Agriculture, Agricultural Market Service, Container Ocean Freight Rates from Drewry Supply Chain Advisors' Container Freight Rate Insight"
2019-01-01,2019,"Freight Rates in $ per 40ft Container To Central China (Shanghai) from U.S. Midwest, U.S. West Coast",1560,Dollars per 40ft box,"U.S. Department of Agriculture, Agricultural Market Service, Container Ocean Freight Rates from Drewry Supply Chain Advisors' Container Freight Rate Insight"
2019-01-01,2019,Freight Transportation Services Index,137.5,Index (average 2000=100),Bureau of Transportation Statistics
2019-01-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",270000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-01-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",80000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-01-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",349000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-01-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",125000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-01-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,75350.2,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,63750,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,87961,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,131436,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,144993,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,111833,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,77948,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,124373,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,72858.5,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,128615.25,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,109756.5,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,81893.1,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,88107,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,95318,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,323838,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,429922.75,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,327345,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,209583,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-01-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",2624,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
2019-01-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",6922,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
2019-01-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",4054,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
2019-01-01,2019,Number of Non-Farm Truck Transportation Employees  in Thousands (Seasonally Adjusted),1526,Number of employees (thousands),U.S. Bureau of Labor Statistics - Current Employment Statistics (CES)
2019-01-01,2019,Number of Rail Transportation Employees in Thousands (Seasonally Adjusted),182.5,Number of employees (thousands),U.S. Bureau of Labor Statistics - Current Employment Statistics (CES)
2019-01-01,2019,Number of Warehousing and Storage Employees in Thousands (Seasonally Adjusted),1173.5,Number of employees (thousands),U.S. Bureau of Labor Statistics - Current Employment Statistics (CES)
2019-01-01,2019,Personal Consumption Expenditures in Billions of $: Durable Goods,1469.9,Billions of dollars,"U.S. Bureau of Economic Analysis, Personal Consumption Expenditures: Durable Goods"
2019-01-01,2019,Planning Time Index at Port of Los Angeles-Long Beach by Time of Day,4.91,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Planning Time Index at Port of Los Angeles-Long Beach by Time of Day,4.53,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Planning Time Index at Port of Los Angeles-Long Beach by Time of Day,4.03,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,"Producer Price Index: Diesel Fuel, Seasonally Adjusted",203.5,Index (1982=100),"U.S. Bureau of Labor Statistics, Producer Price Index by Commodity: Fuels and Related Products and Power: No. 2 Diesel Fuel"
2019-01-01,2019,"Producer Price Index for Trucking (Dec. 2003=100): General Freight, Specialized Freight",134.6,Index (Dec. 2003=100),"U.S. Bureau of Labor Statistics, Producer Price Index by Industry"
2019-01-01,2019,"Producer Price Index for Trucking (Dec. 2003=100): General Freight, Specialized Freight",152.8,Index (Dec. 2003=100),"U.S. Bureau of Labor Statistics, Producer Price Index by Industry"
2019-01-01,2019,PTI Around Port of Los Angeles-Long Beach,4.15,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,PTI Around Port of New York-New Jersey,4.05,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-01-01,2019,Total Business: Inventory to Sales Ratio,1.41,Inventories to sales ratio,"U.S. Census Bureau, Total Business: Inventories to Sales Ratio"
2019-01-01,2019,U.S. Goods Imports Indexed (Feb. 2020 = 100),105.803963633,Index (Feb 2020=100),"U.S. Census Bureau, Seasonally Adjusted Real Imports by Principal End-use Category"
2019-01-01,2019,U.S. Goods Imports in Millions of $ (Nominal),209025.253682745,Millions of dollars (nominal),"U.S. Census Bureau and U.S. Bureau of Economic Analysis, U.S. Imports of Goods by Customs Basis from World"
2019-01-01,2019,"Vehicle Miles Traveled VMT, VMT seasonally adjusted",248927,Vehicle miles traveled,"VMT unadjusted: Office of Highway Policy Information, FHWA VMT seasonally adjusted U.S. Department of Transportation, Bureau of Transportation Statistics (BTS) calculation from U.S. Department of Transportation, Federal Highways Administration, Traffic Volumes and Trends"
2019-01-01,2019,"Vehicle Miles Traveled VMT, VMT seasonally adjusted",273421,Vehicle miles traveled,"VMT unadjusted: Office of Highway Policy Information, FHWA VMT seasonally adjusted U.S. Department of Transportation, Bureau of Transportation Statistics (BTS) calculation from U.S. Department of Transportation, Federal Highways Administration, Traffic Volumes and Trends"
2019-01-05,2019,U.S. Class I Containers on Rail Flat Cars,205950,Containers on rail flat cars,Surface Transportation Board (STB)
2019-01-05,2019,U.S. Class I Rail Intermodal Units,225339,Intermodals,Surface Transportation Board (STB)
2019-01-05,2019,U.S. Class I Total Rail Non-Intermodal Carloads,245597,Carloads,Surface Transportation Board (STB)
2019-01-05,2019,U.S. Class I Trailers on a Rail Flat Car,19389,Trailers on rail flat car,Surface Transportation Board (STB)
2019-01-06,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),1692044,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-01-06,2019,Truck Spot Rates in $ per Mile by Truck Type,1.709,Dollars per mile,DAT Freight and Analytics
2019-01-06,2019,Truck Spot Rates in $ per Mile by Truck Type,2.029,Dollars per mile,DAT Freight and Analytics
2019-01-06,2019,Truck Spot Rates in $ per Mile by Truck Type,2.028,Dollars per mile,DAT Freight and Analytics
2019-01-07,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),3.013,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-01-08,2019,Downbound Grain Barge Rates,9.66,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-08,2019,Downbound Grain Barge Rates,18.17,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-08,2019,Downbound Grain Barge Rates,18.56,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-08,2019,Downbound Grain Barge Rates,17.28,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-08,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-08,2019,Downbound Grain Barge Rates,13.47,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-08,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-12,2019,U.S. Class I Containers on Rail Flat Cars,275827,Containers on rail flat cars,Surface Transportation Board (STB)
2019-01-12,2019,U.S. Class I Rail Intermodal Units,301650,Intermodals,Surface Transportation Board (STB)
2019-01-12,2019,U.S. Class I Total Rail Non-Intermodal Carloads,293136,Carloads,Surface Transportation Board (STB)
2019-01-12,2019,U.S. Class I Trailers on a Rail Flat Car,25823,Trailers on rail flat car,Surface Transportation Board (STB)
2019-01-13,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),2032538,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-01-13,2019,Truck Spot Rates in $ per Mile by Truck Type,1.645,Dollars per mile,DAT Freight and Analytics
2019-01-13,2019,Truck Spot Rates in $ per Mile by Truck Type,1.987,Dollars per mile,DAT Freight and Analytics
2019-01-13,2019,Truck Spot Rates in $ per Mile by Truck Type,1.965,Dollars per mile,DAT Freight and Analytics
2019-01-14,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),2.976,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-01-15,2019,Downbound Grain Barge Rates,11.23,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-15,2019,Downbound Grain Barge Rates,19.35,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-15,2019,Downbound Grain Barge Rates,20.3,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-15,2019,Downbound Grain Barge Rates,18.4,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-15,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-15,2019,Downbound Grain Barge Rates,14.76,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-15,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-19,2019,U.S. Class I Containers on Rail Flat Cars,271786,Containers on rail flat cars,Surface Transportation Board (STB)
2019-01-19,2019,U.S. Class I Rail Intermodal Units,297484,Intermodals,Surface Transportation Board (STB)
2019-01-19,2019,U.S. Class I Total Rail Non-Intermodal Carloads,285654,Carloads,Surface Transportation Board (STB)
2019-01-19,2019,U.S. Class I Trailers on a Rail Flat Car,25698,Trailers on rail flat car,Surface Transportation Board (STB)
2019-01-20,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),2037507,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-01-20,2019,Truck Spot Rates in $ per Mile by Truck Type,1.614,Dollars per mile,DAT Freight and Analytics
2019-01-20,2019,Truck Spot Rates in $ per Mile by Truck Type,1.971,Dollars per mile,DAT Freight and Analytics
2019-01-20,2019,Truck Spot Rates in $ per Mile by Truck Type,1.928,Dollars per mile,DAT Freight and Analytics
2019-01-21,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),2.965,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-01-22,2019,Downbound Grain Barge Rates,10.99,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-22,2019,Downbound Grain Barge Rates,18.76,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-22,2019,Downbound Grain Barge Rates,20.88,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-22,2019,Downbound Grain Barge Rates,18.17,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-22,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-22,2019,Downbound Grain Barge Rates,14.16,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-22,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-26,2019,U.S. Class I Containers on Rail Flat Cars,260931,Containers on rail flat cars,Surface Transportation Board (STB)
2019-01-26,2019,U.S. Class I Rail Intermodal Units,285342,Intermodals,Surface Transportation Board (STB)
2019-01-26,2019,U.S. Class I Total Rail Non-Intermodal Carloads,274451,Carloads,Surface Transportation Board (STB)
2019-01-26,2019,U.S. Class I Trailers on a Rail Flat Car,24411,Trailers on rail flat car,Surface Transportation Board (STB)
2019-01-27,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),2032424,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-01-27,2019,Truck Spot Rates in $ per Mile by Truck Type,1.605,Dollars per mile,DAT Freight and Analytics
2019-01-27,2019,Truck Spot Rates in $ per Mile by Truck Type,1.991,Dollars per mile,DAT Freight and Analytics
2019-01-27,2019,Truck Spot Rates in $ per Mile by Truck Type,1.921,Dollars per mile,DAT Freight and Analytics
2019-01-28,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),2.965,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-01-29,2019,Downbound Grain Barge Rates,10.44,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-29,2019,Downbound Grain Barge Rates,17,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-29,2019,Downbound Grain Barge Rates,19.72,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-29,2019,Downbound Grain Barge Rates,16.17,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-29,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-29,2019,Downbound Grain Barge Rates,13.77,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-01-29,2019,Downbound Grain Barge Rates,,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-02-01,2019,Average Planning Time Index at 10 Bottleneck Locations,7.913,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-02-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach,19.28,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-02-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,21.24,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-02-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,18.66,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-02-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,19.91,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-02-01,2019,Average Truck Speed in MPH Around Port of New York-New Jersey,18.08,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-02-01,2019,Average Truck Speed in MPH at 10 Bottleneck Locations,21.67,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-02-01,2019,Containerized Exports at U.S. Ports in TEUs,968203.47,TEUs,MARAD Office of Policy and Plans analysis of IHS Markit PIERS data
2019-02-01,2019,Containerized Imports at U.S. Ports in TEUs,1838730.76,TEUs,MARAD Office of Policy and Plans analysis of IHS Markit PIERS data
2019-02-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,15322,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,198201,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,182731,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,31869,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,44157,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,52633,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,44038,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,33662,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,175358,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,"Empty Export Containers (in TEUs), Aggregated Select U.S. Ports",777971,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,"Freight Rates in $ per 40ft Container To Central China (Shanghai) from U.S. Midwest, U.S. West Coast",810,Dollars per 40ft box,"U.S. Department of Agriculture, Agricultural Market Service, Container Ocean Freight Rates from Drewry Supply Chain Advisors' Container Freight Rate Insight"
2019-02-01,2019,Freight Transportation Services Index,136.3,Index (average 2000=100),Bureau of Transportation Statistics
2019-02-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",139000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-02-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",258000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-02-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",246000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-02-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",90000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-02-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,105260,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,65610,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,62086,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,86460,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,105287,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,142554,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,113358,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,67837.15,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,76642,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,149685,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,99668.5,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,348315.75,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,302865,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,86953,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,77667,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,295523,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,69976.9,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,105356.75,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-02-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",2419,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
2019-02-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",3663,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
