year,month,ISO3,country,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2022,8,CYM,Cayman Islands,12,1,7,0,0,20,20,11015,2601,5124,0,0,18743,18743,84,0,94,0,0,178,178
2022,8,CYP,Cyprus,55,1,65,34,43,155,198,108113,50568,53717,5460,219164,217867,437031,12475,0,62168,1694,15299,76338,91637
2022,8,DEU,Germany,698,135,702,265,540,1800,2340,6738892,3622654,583371,168981,4014783,11114007,15128871,6657461,944765,413880,195686,734699,8211873,8946645
2022,8,DJI,Djibouti,38,18,9,7,26,72,98,255678,299762,47697,3652,533276,606795,1140074,11632,3078,3620,513,38488,18843,57332
2022,8,DMA,Dominica,5,1,6,2,8,14,22,5277,0,1522,1015,10272,7814,18088,330,460,714,0,299,1504,1803
2022,8,DNK,Denmark,170,59,465,66,253,760,1013,172975,519520,376427,10338,969327,1079291,2048650,118393,101842,178647,42644,568606,441560,1010189
2022,8,DOM,Dominican Republic,127,36,59,27,58,249,307,402694,553086,75301,20503,600666,1051604,1652280,91264,61433,38853,2632,221269,194189,415461
2022,8,DZA,Algeria,114,98,91,9,155,312,467,254791,1758423,182906,529,259182,2196672,2455864,16844,1089861,64364,3623,3981865,1174698,5156572
2022,8,ECU,Ecuador,102,25,26,11,78,164,242,138832,452611,10048,15758,226212,617254,843474,458019,67063,60544,222,61616,585852,647472
2022,8,EGY,Egypt,265,179,197,32,144,673,817,1309409,4368130,333346,24740,2044849,6035675,8080541,1275320,1129247,183120,6276,3785059,2594002,6379075
2022,8,ERI,Eritrea,1,3,3,0,1,7,8,329,59153,5244,0,1433,64726,66159,0,8659,11500,0,167,20159,20326
2022,8,ESP,Spain,1222,438,742,308,1039,2710,3749,5834953,5170247,633214,162567,8970810,11801148,20772067,6476317,2136734,743196,187148,4680264,9543549,14223934
2022,8,EST,Estonia,54,5,124,18,70,201,271,38593,60974,93867,2363,249354,195801,445162,62190,64058,123801,15123,386411,265176,651599
2022,8,FIN,Finland,188,29,355,214,202,786,988,101209,240628,350686,53213,1760162,745758,2505939,369109,428360,402499,173197,821055,1373205,2194269
2022,8,FJI,Fiji,22,4,8,4,21,38,59,29599,2412,1949,1027,64035,34987,99024,25622,38987,2662,0,13514,67271,80786
2022,8,FRA,France,332,146,383,108,774,969,1743,1912729,2076511,298057,46396,8627234,4333722,12961033,1950872,2094301,444086,25155,2040571,4514459,6555081
2022,8,FRO,Faroe Islands,2,0,17,0,2,19,21,770,0,4690,0,9108,5460,14568,0,0,9724,0,90,9724,9814
2022,8,FSM,Micronesia,7,0,6,0,3,13,16,4999,0,3883,0,3650,8882,12532,3386,0,296,0,510,3682,4192
2022,8,GAB,Gabon,13,7,13,1,28,34,62,19903,99047,10930,0,36508,129881,166390,8065,186330,6728,0,814723,201124,1015847
2022,8,GBR,United Kingdom,743,142,910,714,1010,2509,3519,2739047,2600772,917010,718822,7237944,6975821,14213890,1960975,562739,386872,133831,4757087,3044485,7801636
2022,8,GEO,Georgia,14,9,77,6,28,106,134,26878,45846,86054,5371,30382,164153,194537,6753,69164,85349,694,137607,161963,299574
2022,8,GHA,Ghana,76,28,17,3,19,124,143,458591,548073,24597,5597,52412,1036870,1089285,113994,72814,9887,0,167129,196698,363829
2022,8,GIB,Gibraltar,3,0,8,0,64,11,75,0,0,3919,0,178691,3919,182614,0,0,3073,0,17831,3073,20905
2022,8,GIN,Guinea,13,30,26,1,11,70,81,117972,212696,36511,1025,100198,368205,468404,0,1192924,39556,0,15875,1232487,1248362
2022,8,GLP,Guadeloupe,14,2,19,17,18,52,70,41324,0,13134,5321,43346,59782,103134,11042,0,19557,8233,1944,38837,40783
2022,8,GMB,The Gambia,5,3,1,0,4,9,13,11283,53154,3407,0,7506,67844,75351,0,0,177,0,5383,177,5560
2022,8,GNB,Guinea-Bissau,4,3,6,5,3,18,21,10222,14091,6030,0,8700,30343,39044,9029,22679,11615,0,1298,43324,44622
2022,8,GNQ,Equatorial Guinea,15,1,6,0,17,22,39,20184,0,1929,0,16011,22113,38124,4931,29048,997,0,409193,34976,444169
2022,8,GRC,Greece,295,84,200,142,626,721,1347,2312740,348823,114699,50486,1900568,2826781,4727388,2283233,276632,69878,20315,2030648,2650075,4680757
2022,8,GRD,Grenada,8,2,10,2,8,22,30,3463,0,12049,460,6848,15972,22820,1725,0,436,64,514,2225,2740
2022,8,GTM,Guatemala,138,31,8,6,35,183,218,213752,608173,20906,5051,223577,847894,1071478,190082,118175,21545,63,115702,329870,445576
2022,8,GUF,French Guiana,5,1,7,2,6,15,21,7414,3537,5254,810,14412,17015,31427,0,0,448,3,300,451,751
2022,8,GUM,Guam,15,0,4,1,6,20,26,34771,0,1396,504,107798,36672,144471,7604,0,2712,73,3281,10389,13671
2022,8,GUY,Guyana,12,7,59,3,42,81,123,7730,13225,42309,555,44432,63824,108261,5837,7012,30333,0,1346565,43184,1389751
2022,8,HKG,Hong Kong SAR,1153,21,46,20,158,1240,1398,7974070,397867,71650,12638,1536522,8456246,9992782,8577944,35881,25163,3164,72662,8642159,8714834
2022,8,HND,Honduras,74,18,12,8,27,112,139,69247,275954,32778,4270,240930,382256,623191,47679,240546,5283,174,73736,293686,367424
2022,8,HRV,Croatia,31,16,49,0,52,96,148,57048,149006,20828,0,760587,226883,987474,17786,102425,78524,0,25803,198740,224543
2022,8,HTI,Haiti,20,10,35,3,10,68,78,64121,158183,55457,898,45488,278666,324154,955,2278,5087,106,6969,8427,15396
2022,8,IDN,Indonesia,1307,1140,1260,138,2523,3845,6368,2379753,7364944,1087568,23034,7387216,10855523,18242964,1579157,30985706,1233632,26621,9302530,33825334,43128077
