period,total_original,total_seasonally_adjusted,total_trend_cycle,north_range_original,north_range_seasonally_adjusted,north_range_trend_cycle
2012-01,89.838728964920847,90.896332495761257,91.378343841295518,96.624174436396004,101.0067444421626,95.445738606653123
2012-02,81.292500025065891,91.229699589847385,91.64409143656718,93.96078269487964,94.904387882710566,95.317270578880468
2012-03,91.805596430940611,92.129908969741194,91.948006454082915,96.496418719514963,94.783629913278958,95.40005537521759
2012-04,91.826284068882131,92.115383116183892,92.237081065896916,95.703403697592321,95.610762724822735,95.590156750574678
2012-05,96.530787524789915,93.220553568323595,92.471768836055233,100.8847572645201,96.34384854484307,95.868051781800119
2012-06,94.266008519192596,92.753523822207327,92.616171029271271,97.976067207824343,96.879573982010243,96.041832369233788
2012-07,96.207144106733764,92.473677158522648,92.689178792598511,100.75828583201179,96.825991840790309,96.081378974129038
2012-08,95.124649104053461,92.210196484650623,92.776366236094702,98.261331229553221,95.298582485959642,95.909526737929667
2012-09,97.343763719059567,96.197905811342835,92.96211156225867,96.490700596236664,95.3871443079545,95.659811087422455
2012-10,94.858890471049435,93.326603051782669,93.244532989083368,99.303161059580475,96.586439716008357,95.446902209850549
2012-11,92.290599350773292,93.300329666178413,93.558118145522656,89.280422346089409,94.279151981224118,95.35835050000027
2012-12,94.102575687744832,94.164607155286461,93.854014151316392,90.290083910401293,96.578227463356086,95.399970061555933
2013-01,93.856613152494361,94.616327282664344,94.067284750798635,91.377903352249774,94.74024768545128,95.536002279527693
2013-02,81.343495955230509,93.641565583411236,94.211202673767389,94.367503324423609,97.96775025363948,95.738335949938715
2013-03,93.992825067573193,94.401800322117197,94.335933662023066,96.474463572382234,94.63627908043523,95.911918137298258
2013-04,94.608781557433502,94.471394587834411,94.498870121887506,98.432385676712755,97.107587431892355,96.047982891809866
2013-05,98.191534004197337,95.007835517571493,94.69799229474431,99.675358902059173,96.269156532035282,96.097794331227121
2013-06,96.161417198748353,94.51642022616673,94.938331624556895,97.408902766295029,96.558021128694662,96.085299932010642
2013-07,99.546540220898677,95.338542364221453,95.179312382398223,100.1653439684311,96.266623983384164,96.057182472034569
2013-08,98.975535844801172,95.658093293179292,95.391125597135144,98.185772498961299,94.926522763107926,96.025826016311981
2013-09,96.555095552054397,95.790671622876005,95.59356630678306,97.566013554551319,97.37245807132723,96.026944693342415
2013-10,96.651946937205992,95.506643360368059,95.843359879090499,98.688539252661172,95.954806793319648,96.106900928653289
2013-11,95.74086339035955,96.21972325971457,96.159894725773768,94.689185981577396,99.920400818608556,96.406923674519675
2013-12,95.412039692043336,96.192052932448874,96.538399269093929,90.332832233091494,96.078773945886908,96.911548686292093
2014-01,96.487807869936461,97.391861390115224,96.975010779290756,94.203206659320244,97.887586810328202,97.534781563896729
2014-02,83.399494961881231,96.041257632535803,97.441065868682713,92.186910772432071,95.284750994784048,98.139823407407732
2014-03,98.690167823295056,98.010085948545651,97.902231072304986,102.4103953646508,100.4232450608922,98.70074260587846
2014-04,100.0718556209129,100.0412408535947,98.337790551906494,101.6994216515821,99.992991245114226,99.291260939178898
2014-05,102.11320069084999,98.508031294385276,98.794725172029757,102.7700867235956,99.32902611675803,99.831053528542128
2014-06,101.0682859474915,99.559540286608197,99.309589529309278,99.168280622251075,99.070938377712295,100.4168941060058
2014-07,103.0912652333614,99.403591371774311,99.836136888498075,105.9923256364183,101.3710772838473,101.0800751712641
2014-08,103.5412169683228,100.6704809587949,100.28508990464719,105.8641724029457,103.0913375240343,101.7161577616711
2014-09,101.5062504989457,100.5105658254065,100.59475691088851,103.8258907907255,102.93030977668209,102.1691379991815
2014-10,102.7048002634386,101.82627993697891,100.7914561542578,102.7461439935052,100.96371334640379,102.3948218345443
2014-11,100.096169970161,100.5927519836555,100.9204548161802,98.967626478121488,104.4070317700411,102.3273378204124
2014-12,100.22480126484879,100.3381448114645,101.0036664234096,95.462569799517865,101.41517342255889,101.9728290945275
2015-01,98.936420607840887,99.340287557563983,101.0438473235491,97.680253707319991,100.3429302714907,101.44473975512619
2015-02,89.232780596697665,102.18084907085,101.0382565878041,96.991204563184681,100.13004972804541,100.9170655467518
2015-03,101.61676860793651,101.35728196161649,100.9713163804994,106.3957132422332,103.0012251264728,100.4736710871376
2015-04,100.7600826399422,100.6352742808162,100.79220776343961,100.09317941796689,98.932237284048767,100.14846033682829
2015-05,103.1886835699958,100.01450968403191,100.49704259401931,101.2636823108557,98.676395311540432,99.969538545401932
2015-06,102.1614001968984,100.3137651793411,100.1049144035138,101.7193280593584,101.15023106533179,99.860733157609758
2015-07,103.478754926595,100.1677811856555,99.740005061229098,104.4809675553838,101.0943385295578,99.662090902897631
2015-08,102.803683720546,99.18437514451989,99.456127552123505,101.3914074495374,99.498270153688296,99.464664744152529
2015-09,99.817230563130224,99.141343724371737,99.260634652508415,99.668662276401705,99.070849618996817,99.361684609193674
2015-10,100.4822380599969,99.080334568460344,99.099584760493542,101.5404455931655,99.223970546554511,99.356877475376677
2015-11,98.380751678298125,99.035383418451858,98.998661534330836,93.394382708334049,98.672810738268254,99.510783796995668
2015-12,99.141204832122199,99.54881422432122,98.997401386489528,95.380773116258695,100.2066916260042,99.829690042528014
2016-01,98.384240289383413,99.050248504896956,99.130889065468367,97.018938989994425,99.562191083485914,100.2439801217572
2016-02,90.523221236966819,101.71667277548021,99.39405191905648,100.9636184406418,101.09546095882411,100.5900613442506
2016-03,99.754121150273207,99.085440398543042,99.765239510812151,104.12411996897841,99.880095596996313,100.8263334459719
2016-04,100.97013054783871,100.8615460424686,100.2168942126151,102.43901655924159,100.7821599535537,101.00282922762121
2016-05,103.8017464778891,100.661774417629,100.63595404534679,103.8606276251862,101.3580438794409,101.12994170007811
2016-06,103.1066397357264,101.4141306536625,100.9738240954335,102.0061515692541,102.610239552564,101.22167104384729
2016-07,104.68587575558951,101.31094510736889,101.2757918609111,103.7936919468108,100.85179424521201,101.2462160378745
2016-08,105.0054459898024,101.4907001950952,101.6406570836382,103.8146991697637,101.6946688918915,101.2333559032548
2016-09,102.21643517219429,101.9539641841257,102.1647802848393,101.2441428414715,101.3457283992433,101.2289666945514
2016-10,103.9269745785156,101.9846554689035,102.88226333687911,102.85622551116241,100.8636994126712,101.364437539525
2016-11,103.9677612074734,104.54429521088559,103.77686866099241,97.93928163400723,101.98234742627371,101.7561380354243
2016-12,104.8864746861836,105.1491893654988,104.71886172529091,97.512440549291483,102.1535685719702,102.3828384527452
2017-01,104.9806090232364,105.5060465731304,105.6241308524838,102.7876691882214,104.62051037984919,103.1529113550753
2017-02,92.682664193354697,106.4521855604126,106.3859553605857,97.261240641637642,100.5608693821535,103.9161326248182
2017-03,108.0378086443766,107.4093190246213,106.9692396887497,109.13169762900461,105.11193651178201,104.58837774122451
2017-04,107.5356780658591,107.60798839538531,107.4639723228679,107.37978085368979,105.9232157464172,105.1652324711761
2017-05,111.5369767399707,107.7632504501328,107.9522764343444,108.10234370431191,105.8672543600135,105.7616784743669
2017-06,109.83559887142709,108.6952798239335,108.47189994209189,105.2439242073462,106.3769543508381,106.40924516421821
2017-07,112.45949745774389,108.2559737516012,109.01104954434631,108.4720035562446,106.4232920530536,107.1794036845756
2017-08,113.0086818583778,109.75905756596261,109.5806241029661,110.68473379575209,108.13616018251351,107.9787286326911
2017-09,111.8650132342445,111.09743160367751,110.16559493909899,109.19652341162499,109.8790688353054,108.6274546066802
2017-10,111.6025097203951,110.0031268197621,110.7304021171591,113.2327234129246,109.4318488722713,109.0660903496738
2017-11,110.7108595240406,111.1951704338944,111.1668865998615,104.3861751374012,108.7259543300263,109.1902489655119
2017-12,110.93193550616191,111.9284918673565,111.49208157811709,106.15879335367551,111.2782551019541,109.11069652642411
2018-01,111.9291889550162,111.6963955206642,111.7300912335575,105.84316517999279,106.9814407578061,108.97916044043239
2018-02,101.3395149227329,115.6996158692333,111.92904109542749,102.7587727898364,106.5818820787425,108.9002149068275
2018-03,110.64413422338011,109.2554121544828,112.16956027346239,114.6042779665345,109.6958018775657,108.97553282745611
2018-04,111.17316554491519,111.5497715848128,112.412918868172,109.5901871500468,108.9646176150097,109.1084970673308
